session_id,user_id,current_question_index,answers,total_questions,current_theta,started_at,completed_at,user_label
91d3c919-3a16-4cb4-a214-ba5c7c7ea76e,417880d7-6da0-4fd6-9f4e-f61b2e70d5ab,4,"{""CH01-Q001"": true, ""CH01-Q002"": false, ""CH01-Q003"": false, ""CH01-Q004"": true, ""CH01-Q005"": true}",5,1340,2026-05-09 05:40:24.22788+00,2026-05-09 05:50:02.602965+00,User_3
07fcbf31-0654-4e7b-b333-879e37013687,32c7420c-0bf8-4aa7-8174-45e980dee27c,4,"{""CH01-Q001"": true, ""CH01-Q002"": false, ""CH01-Q003"": false, ""CH01-Q004"": false, ""CH01-Q006"": true}",5,1260,2026-05-09 05:36:21.848819+00,2026-05-09 05:50:28.903707+00,User_2
8cded907-8889-4135-bdcd-4076ebde7044,53750c4a-a048-4037-b563-272d5c8b2567,4,"{""CH01-Q001"": true, ""CH01-Q002"": true, ""CH01-Q004"": true, ""CH01-Q005"": false, ""CH01-Q006"": true}",5,1420,2026-05-03 13:50:18.221762+00,2026-05-03 13:54:48.475676+00,User_4
700b6bec-8dd3-42a8-913c-057c2844bd9c,71ff93d9-bdd1-441d-8984-d4094ae239d0,4,"{""CH01-Q001"": true, ""CH01-Q002"": true, ""CH01-Q003"": false, ""CH01-Q004"": false, ""CH01-Q006"": true}",5,1340,2026-05-09 05:48:45.053458+00,2026-05-09 05:53:13.809059+00,User_12
dd66794d-0c05-4610-8938-57f92d78c937,e0e04c7e-8e71-49d6-8a65-a76b82826016,4,"{""CH01-Q001"": false, ""CH01-Q002"": false, ""CH01-Q004"": true, ""CH01-Q005"": false, ""CH01-Q006"": true}",5,1260,2026-05-09 05:47:30.527981+00,2026-05-09 05:54:40.304524+00,User_11
f4685620-e587-4640-89aa-28309cf66e1d,6d23e37a-d746-4a4a-b9be-29507cc9a88c,0,{},5,0,2026-05-09 07:37:10.618941+00,,User_10
009f6056-ad6c-45e9-83c9-edcd91ab953e,d897aef3-80ea-473d-be4c-f4367cbc4d93,4,"{""CH01-Q001"": true, ""CH01-Q002"": false, ""CH01-Q003"": true, ""CH01-Q004"": false, ""CH01-Q005"": false}",5,1260,2026-05-07 07:58:49.316043+00,2026-05-07 08:07:07.404075+00,User_9
ff1198bd-556d-415d-b76a-e1d4f38e55e4,c1b54361-4d33-4c69-936d-ee088bedfd00,4,"{""CH01-Q001"": true, ""CH01-Q002"": false, ""CH01-Q003"": false, ""CH01-Q004"": false, ""CH01-Q006"": true}",5,1260,2026-05-07 07:57:50.088141+00,2026-05-07 08:07:43.284365+00,User_5
4ce925cf-a677-4531-a6f6-76213ee42ce9,e1963a44-bf91-4a7e-80eb-6c6cc0a43acb,4,"{""CH01-Q001"": true, ""CH01-Q002"": true, ""CH01-Q003"": false, ""CH01-Q004"": false, ""CH01-Q006"": true}",5,1340,2026-05-07 08:00:15.888578+00,2026-05-07 08:07:47.805283+00,User_6
17e50a90-7a22-4235-8813-e4a2a855b935,7e2e07f2-813f-4c75-abfc-dc1d009b35a1,4,"{""CH01-Q001"": true, ""CH01-Q002"": true, ""CH01-Q003"": true, ""CH01-Q004"": false, ""CH01-Q006"": false}",5,1340,2026-05-07 07:58:19.128267+00,2026-05-07 08:08:38.810614+00,User_1
71905cda-91ae-4f17-91fa-9963f2319a21,1907a5eb-a5a4-4782-b2af-b5779b706982,4,"{""CH01-Q001"": true, ""CH01-Q002"": true, ""CH01-Q003"": false, ""CH01-Q004"": false, ""CH01-Q005"": false}",5,1260,2026-05-09 05:37:25.6276+00,2026-05-09 05:45:05.725883+00,User_14
6f4e60b4-bcd0-4994-bcfe-bb097287641f,dc1b1d60-9a59-45c1-bb0c-1320aad3f9c2,4,"{""CH01-Q001"": true, ""CH01-Q002"": true, ""CH01-Q004"": true, ""CH01-Q005"": true, ""CH01-Q006"": false}",5,1420,2026-05-09 05:37:19.672832+00,2026-05-09 05:45:12.37473+00,User_13
